기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
주식회사 모빅랩,이원근,인천광역시 연수구 컨벤시아대로 204 (송도동),제조빅데이터/제조AI,미등록,"식료품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)픽스로봇,우정오,인천광역시 미추홀구 방축로 312 (주안동),스마트장비,미등록,기타 기계 및 장비 제조업
아이에스피(주),박상규,"경기도 부천시 석천로 397 (삼정동) 부천테크노파크쌍용3차 101동 507,508호",산업용로봇,미등록,"식료품 제조업, 음료 제조업, 기타 제품 제조업"
(주)에이아이웨어,유상덕,경기도 성남시 분당구 판교로 744 (야탑동),식별시스템/머신비전,"산업용로봇, 제어시스템/컨트롤러, 제조빅데이터/제조AI","인쇄 및 기록매체 복제업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
아이테크기술(주),이성우,"경기도 광명시 소하로 190(소하동) 408호 (소하동, 광명G타워)",제어시스템/컨트롤러,"센서/액추에이터, MES/POP/APS",비금속 광물제품 제조업
엔셀주식회사,임용일,경기도 성남시 분당구 성남대로 393 (정자동),QMS/CMMS,"MES/POP/APS, 제조빅데이터/제조AI","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)큐알피,송희관,경기도 안성시 대덕면 양재미길 3,산업용로봇,"제어시스템/컨트롤러, 센서/액추에이터, FEMS","전기장비 제조업, 기타 기계 및 장비 제조업"
(주)와이즈소프트,이원형,인천광역시 연수구 앵고개로 262 (동춘동),MES/POP/APS,"제어시스템/컨트롤러, 센서/액추에이터","식료품 제조업, 음료 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)케이에이치시스템즈,김진석,"인천광역시 연수구 송도미래로 30 (송도동), E동 802호",MES/POP/APS,미등록,"금속 가공제품 제조업; 기계 및 가구 제외, 자동차 및 트레일러 제조업, 기타 제품 제조업"
(주)현전사,권철,부산광역시 부산진구 전포대로255번길 33 (전포동),산업용로봇,"스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터",기타 기계 및 장비 제조업
(주)유비즈,지미숙,경기도 용인시 수지구 신수로 767 (동천동),MES/POP/APS,"제어시스템/컨트롤러, 센서/액추에이터, QMS/CMMS","식료품 제조업, 가죽. 가방 및 신발 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업"
