기업명,대표자명,주소,스마트공장 전문분야,스마트공장 전문업종,공급기업 전문업종
(주)지앤아이,진홍근,"울산광역시 남구 삼산로 291 (삼산동,우리은행빌딩 5층)",MES/POP/APS,"SCM/WMS, QMS/CMMS",자동차 및 트레일러 제조업
로뎀솔루션 주식회사,권영근,경기도 안산시 상록구 해양3로 15 (사동),MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, FEMS, 클라우드컴퓨팅, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업"
(주)그랜드벨,양희창,경기도 광주시 곤지암읍 경충대로 417-11,스마트장비,미등록,기타 기계 및 장비 제조업
(주)솔브리드플러스,조영인,서울특별시 금천구 가산디지털1로 128 (가산동),QMS/CMMS,PLM/PDM,"화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업"
(주)뉴럴넥서스,유익수,충청남도 아산시 탕정면 용머리길 16,제조빅데이터/제조AI,"스마트장비, 제어시스템/컨트롤러, MES/POP/APS, QMS/CMMS","식료품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
지남소프트,김인수,서울특별시 금천구 시흥대로 189 (시흥동),MES/POP/APS,ERP,"화학 물질 및 화학제품 제조업; 의약품 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 가구 제조업, 기타 제품 제조업"
(주)엔스마트솔루션,김영헌,서울특별시 서초구 서운로 13 (서초동),제조빅데이터/제조AI,"MES/POP/APS, 클라우드컴퓨팅","식료품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
주식회사 아이엔드,이시경,울산광역시 중구 종가로 362-11 (교동),산업용로봇,"스마트장비, 식별시스템/머신비전, 제조빅데이터/제조AI",산업용 기계 및 장비 수리업
주식회사 위캔,김치원,부산광역시 해운대구 선수촌로 65-29 (반여동),클라우드컴퓨팅,"통신네트워크장비, ERP","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업"
(주)명성에이앤티,황희석,충청북도 청주시 청원구 오창읍 장대길 13-16,스마트장비,"제어시스템/컨트롤러, FEMS","전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)파워로보틱스,조승완,경상남도 김해시 진례면 테크노밸리로 219,산업용로봇,제어시스템/컨트롤러,기타 기계 및 장비 제조업
주식회사지팬스스마트로,양현석,서울특별시 강남구 테헤란로 310 (역삼동),제조빅데이터/제조AI,"제어시스템/컨트롤러, 센서/액추에이터, ERP, SCM/WMS","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
플링크,소두섭,전북특별자치도 익산시 금마면 제석사지로 22,스마트장비,제어시스템/컨트롤러,"기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)엠비젼,이구열,충청북도 청주시 흥덕구 신성로 103 (신성동),식별시스템/머신비전,제조빅데이터/제조AI,"식료품 제조업, 음료 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업"
주식회사뉴엔,유승철,전북특별자치도 전주시 덕진구 기린대로 945-6 (여의동),제어시스템/컨트롤러,스마트장비,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)엔에프에이,신용관,서울특별시 금천구 가산디지털2로 43-14 (가산동),제조빅데이터/제조AI,"식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS",기타 기계 및 장비 제조업
주식회사 리비즈,노경석,대전광역시 유성구 테크노1로 20 (관평동),MES/POP/APS,"SCM/WMS, FEMS","식료품 제조업, 음료 제조업, 가죽. 가방 및 신발 제조업, 펄프. 종이 및 종이제품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외"
지성테크,류정형,대구광역시 달서구 성서공단로39길 27 (갈산동),산업용로봇,제어시스템/컨트롤러,기타 기계 및 장비 제조업
오엠에이곰 유한회사,이주영,대전광역시 유성구 문지로299번길 66 (문지동),스마트장비,제어시스템/컨트롤러,의료. 정밀. 광학 기기 및 시계 제조업
(주)알트투,백경훈,경기도 안양시 만안구 덕천로152번길 25 (안양동),통신네트워크장비,"제어시스템/컨트롤러, 센서/액추에이터",전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업
성우테크론주식회사,박찬홍,경상남도 창원시 성산구 창원대로1144번길 55(성주동) 성우테크론주식회사,식별시스템/머신비전,"스마트장비, 제어시스템/컨트롤러, MES/POP/APS, 제조빅데이터/제조AI","전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 기타 기계 및 장비 제조업"
주식회사 다바랩,"윤봉환, 정인호",서울특별시 금천구 가산디지털1로 181 (가산동),PLM/PDM,"제어시스템/컨트롤러, SCM/WMS, MES/POP/APS","식료품 제조업, 목재 및 나무제품 제조업; 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 산업용 기계 및 장비 수리업"
(주)씨에스지시스템,김동광,광주광역시 광산구 어등대로449번길 83-9 (선암동),MES/POP/APS,"산업용로봇, ERP, CPS/디지털트윈","고무 및 플라스틱제품 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업"
(주)휴빌론,이재용,서울특별시 서초구 강남대로 291 (서초동),식별시스템/머신비전,제조빅데이터/제조AI,"금속 가공제품 제조업; 기계 및 가구 제외, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업"
주식회사 프레쉬테크,문창섭,제주특별자치도 제주시 오광로6길 8 (이호이동),센서/액추에이터,"식별시스템/머신비전, MES/POP/APS","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 목재 및 나무제품 제조업; 가구 제외, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
한국애질런트테크놀로지스,유재수,서울특별시 서초구 강남대로 369(서초동) 에이플러스에셋타워 14층,MES/POP/APS,"QMS/CMMS, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 담배 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업"
미주아이티,이주한,경상북도 칠곡군 동명면 봉암2길 21-42,ERP,센서/액추에이터,"식료품 제조업, 기타 제품 제조업"
푸름인더스트리,최광남,경기도 안산시 단원구 동산로 76 (원시동) 715,식별시스템/머신비전,MES/POP/APS,"금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 산업용 기계 및 장비 수리업"
(주)유니로보틱스,안승후,경기도 안산시 상록구 안산대학로 155 (일동) 창업보육센터 503,제어시스템/컨트롤러,"산업용로봇, 스마트장비, 센서/액추에이터, 통신네트워크장비, MES/POP/APS, FEMS, 클라우드컴퓨팅, CPS/디지털트윈, 제조빅데이터/제조AI, 컨설팅/사이버보안","식료품 제조업, 음료 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)이지오피스,최성철,경기도 수원시 영통구 광교중앙로248번길 95-5 (하동),SCM/WMS,"ERP, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)디에이치티,정성욱,"경상북도 구미시 산동읍 첨단기업1로 17, 혁신관 205호",스마트장비,미등록,"기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)위치스,고미아,광주광역시 남구 송암로24번가길 46 (송하동),AR/VR/MR,미등록,"인쇄 및 기록매체 복제업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
가람정보기술(주),조성재,광주광역시 북구 첨단과기로208번길 43-22 (오룡동),MES/POP/APS,미등록,"화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
주식회사 탑테이블,유현주,서울특별시 마포구 성암로 330 (상암동),스마트장비,"제어시스템/컨트롤러, PLM/PDM, MES/POP/APS, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 의료용 물질 및 의약품 제조업, 기타 기계 및 장비 제조업"
(주)이노소프트기술,최승실,서울특별시 성동구 아차산로17길 57 (성수동2가),ERP,미등록,"식료품 제조업, 음료 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 펄프. 종이 및 종이제품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)인타운,배준희,부산광역시 해운대구 센텀6로 21 (우동) 401호,제조빅데이터/제조AI,미등록,"고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업"
(주)이엔에스티,박헌국,충청남도 천안시 서북구 불당36길 63 (불당동),MES/POP/APS,"ERP, SCM/WMS, 제조빅데이터/제조AI","1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
주식회사 크레오티,강은서,서울특별시 중랑구 동일로159길 21 (묵동),MES/POP/APS,"산업용로봇, 스마트장비, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 화학 물질 및 화학제품 제조업; 의약품 제외, 고무 및 플라스틱제품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 자동차 및 트레일러 제조업, 가구 제조업, 기타 제품 제조업"
주식회사 뉴젠솔루션,장선수,서울특별시 영등포구 경인로 755 (문래동3가),ERP,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)임베디드솔루션,이선복,충청북도 청주시 흥덕구 공단로 134 (송정동) 세중테크노밸리 209호,MES/POP/APS,"스마트장비, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비","펄프. 종이 및 종이제품 제조업, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)이지원플러스,성낙균,경기도 화성시 마도면 석교로157번길 6-7,MES/POP/APS,"스마트장비, 제어시스템/컨트롤러, ERP, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
(주)세주에프에이,채영진,서울특별시 금천구 가마산로 96 (가산동) 대륭8차 807호,산업용로봇,"식별시스템/머신비전, 제어시스템/컨트롤러",기타 기계 및 장비 제조업
주식회사 엠티에스티,권정호,경기도 군포시 군포첨단산업2로7번길 8 (부곡동),제조빅데이터/제조AI,"산업용로봇, 스마트장비, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, SCM/WMS, MES/POP/APS, FEMS, QMS/CMMS, 클라우드컴퓨팅","식료품 제조업, 음료 제조업, 펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
(주)기댐아이티,박종호,서울특별시 강서구 마곡중앙로 59-9 (마곡동),MES/POP/APS,"스마트장비, 식별시스템/머신비전, SCM/WMS","식료품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업"
주식회사 씨맵,김명수,경기도 이천시 백사면 원적로618번길 355,스마트장비,"제어시스템/컨트롤러, 센서/액추에이터","식료품 제조업, 고무 및 플라스틱제품 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
엔솔루션스,권재학,서울특별시 금천구 디지털로9길 32 (가산동) 갑을그레이트밸리 A-1004,PLM/PDM,"ERP, SCM/WMS, MES/POP/APS, 클라우드컴퓨팅, CPS/디지털트윈","1차 금속 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 운송장비 제조업, 기타 제품 제조업"
(주)더더씨앤씨,이동률,서울특별시 강서구 마곡중앙6로 66 (마곡동),MES/POP/APS,"산업용로봇, 스마트장비, 식별시스템/머신비전, 센서/액추에이터, SCM/WMS, FEMS, AR/VR/MR","식료품 제조업, 음료 제조업, 의복. 의복 액세서리 및 모피제품 제조업, 의료용 물질 및 의약품 제조업, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업"
주식회사 이지아이,우동균,부산광역시 강서구 명지국제8로10번길 16 (명지동),MES/POP/APS,"ERP, CPS/디지털트윈, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
써모피셔사이언티픽코리아 주식회사,석수진,서울특별시 강남구 광평로 281 (수서동) 수서오피스빌딩 11층,MES/POP/APS,미등록,"식료품 제조업, 음료 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업"
(주)매직시스템,임기선,경상남도 창원시 성산구 완암로 50 (성산동),MES/POP/APS,"ERP, SCM/WMS","펄프. 종이 및 종이제품 제조업, 고무 및 플라스틱제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 마이스,이효은,충청남도 아산시 배방읍 희망로46번길 11-16,MES/POP/APS,미등록,"식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
에스앤지,안석철,충청북도 청주시 청원구 팔결로145번길 8 (오동동),MES/POP/APS,"ERP, SCM/WMS","가죽. 가방 및 신발 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 디아이텍,이경민,충청남도 아산시 음봉면 월암로 336-61,스마트장비,"제어시스템/컨트롤러, 센서/액추에이터, ERP, PLM/PDM, MES/POP/APS","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 딜리코,김서윤,충청남도 아산시 배방읍 휴대세교길 100-9,제어시스템/컨트롤러,"스마트장비, 식별시스템/머신비전","식료품 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업"
(주)이에스피,김영민,"울산광역시 중구 종가로 362-11, 704-1호 (교동)",제어시스템/컨트롤러,식별시스템/머신비전,기타 기계 및 장비 제조업
유피아이,임광현,대구광역시 달서구 성서공단로51길 51(장동) 유피아이,스마트장비,"산업용로봇, 제어시스템/컨트롤러, SCM/WMS, 제조빅데이터/제조AI","1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전기장비 제조업, 기타 기계 및 장비 제조업"
이지원랩스 주식회사,이동훈,부산광역시 강서구 과학산단1로60번길 30 (지사동),MES/POP/APS,미등록,"1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
자이솜,조창희,대전광역시 유성구 테크노3로 43 (관평동),제어시스템/컨트롤러,"FEMS, 제조빅데이터/제조AI","식료품 제조업, 음료 제조업, 담배 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 인쇄 및 기록매체 복제업, 코크스. 연탄 및 석유정제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업"
(주)새힘정보기술,한종호,충청북도 청주시 흥덕구 오송읍 오송생명1로 194-41 기업연구관 2동 406호,MES/POP/APS,"스마트장비, 센서/액추에이터","화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 기타 제품 제조업"
주식회사 모티버,황성원,대구광역시 수성구 알파시티1로35길 17 (대흥동),CPS/디지털트윈,미등록,"전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 제품 제조업"
베텍,최영준,대전 유성구 관평동 1311,FEMS,통신네트워크장비,"식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 목재 및 나무제품 제조업; 가구 제외, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
한미사이언스,김재교,경기도 화성시 팔탄면 무하로 214,QMS/CMMS,"SCM/WMS, MES/POP/APS, 컨설팅/사이버보안",의료용 물질 및 의약품 제조업
(주)씨이랩,이우영,서울특별시 강남구 언주로 617 (논현동),제조빅데이터/제조AI,"식별시스템/머신비전, QMS/CMMS",기타 제품 제조업
주식회사 자이드테크,김승환,인천광역시 연수구 송도문화로 119 (송도동),스마트장비,미등록,"전기장비 제조업, 기타 기계 및 장비 제조업"
주식회사 보령제어시스템,이대형,충청남도 보령시 웅천읍 산업단지길 10-99,제어시스템/컨트롤러,"스마트장비, ERP, MES/POP/APS, FEMS","식료품 제조업, 목재 및 나무제품 제조업; 가구 제외, 화학 물질 및 화학제품 제조업; 의약품 제외, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 팜소프트,최석중,"경기도 광명시 일직로 43(일직동) GIDC  C동 2115, 2116호",QMS/CMMS,MES/POP/APS,기타 제품 제조업
(주)마리소프트,김인성,경상남도 창원시 의창구 북면 천주로 463,MES/POP/APS,"식별시스템/머신비전, 제어시스템/컨트롤러","1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 기타 기계 및 장비 제조업"
주식회사 제이에스브레인,유준상,서울특별시 금천구 벚꽃로 298 (가산동),ERP,"SCM/WMS, MES/POP/APS","비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업"
(주)아라,김진배,충청남도 천안시 동남구 풍세면 풍세산단로 233,산업용로봇,"식별시스템/머신비전, 제어시스템/컨트롤러, MES/POP/APS, CPS/디지털트윈","식료품 제조업, 음료 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 산업용 기계 및 장비 수리업"
(주)플로시스,엄상수,"경기도 화성시 팔탄면 온천로 528-8, B동",제조빅데이터/제조AI,"산업용로봇, 식별시스템/머신비전, 제어시스템/컨트롤러, 센서/액추에이터, 통신네트워크장비, ERP, MES/POP/APS, 클라우드컴퓨팅, AR/VR/MR, 컨설팅/사이버보안","금속 가공제품 제조업; 기계 및 가구 제외, 기타 기계 및 장비 제조업, 기타 제품 제조업"
블루비즈랩,안용호,서울특별시 송파구 법원로 127(문정동) 2층,PLM/PDM,"MES/POP/APS, 클라우드컴퓨팅","화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 의료. 정밀. 광학 기기 및 시계 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
주식회사 비즈프로,손영화,경상남도 양산시 명곡로 321 (명곡동),MES/POP/APS,SCM/WMS,"식료품 제조업, 음료 제조업, 섬유제품 제조업; 의복 제외, 의복. 의복 액세서리 및 모피제품 제조업, 가죽. 가방 및 신발 제조업, 목재 및 나무제품 제조업; 가구 제외, 펄프. 종이 및 종이제품 제조업, 화학 물질 및 화학제품 제조업; 의약품 제외, 의료용 물질 및 의약품 제조업, 고무 및 플라스틱제품 제조업, 비금속 광물제품 제조업, 1차 금속 제조업, 금속 가공제품 제조업; 기계 및 가구 제외, 전자 부품. 컴퓨터. 영상. 음향 및 통신장비 제조업, 전기장비 제조업, 기타 기계 및 장비 제조업, 자동차 및 트레일러 제조업, 기타 운송장비 제조업, 가구 제조업, 기타 제품 제조업, 산업용 기계 및 장비 수리업"
